sailing_id,arrival_hhmm,arrival_minutes,departure_hhmm,departure_minutes,display_order,duration_min,from_port,is_active,operator,route,season,service_note,to_port,via_text,is_conditional_service,conditional_type,conditional_route
anei-kanko__2026-01-01_2026-03-31__ishigaki-port__iriomote-ohara-port__1140,12:25,745,11:40,700,22,45,石垣港離島ターミナル,yes,安栄観光,anei-kanko__石垣→西表大原,2026年1月〜3月ダイヤ,,西表大原港,,no,,
anei-kanko__2026-01-01_2026-03-31__ishigaki-port__iriomote-ohara-port__1300,13:45,825,13:00,780,23,45,石垣港離島ターミナル,yes,安栄観光,anei-kanko__石垣→西表大原,2026年1月〜3月ダイヤ,,西表大原港,,no,,
anei-kanko__2026-01-01_2026-03-31__ishigaki-port__iriomote-ohara-port__1600,16:45,1005,16:00,960,24,45,石垣港離島ターミナル,yes,安栄観光,anei-kanko__石垣→西表大原,2026年1月〜3月ダイヤ,上原航路欠航時に大原-上原方面の連絡送迎バスあり,西表大原港,,no,,
anei-kanko__2026-01-01_2026-03-31__ishigaki-port__hatoma-port__0830,09:50,590,08:30,510,25,80,石垣港離島ターミナル,yes,安栄観光,anei-kanko__石垣→鳩間,2026年1月〜3月ダイヤ,,鳩間港,上原経由,no,,
anei-kanko__2026-01-01_2026-03-31__ishigaki-port__hatoma-port__1600,16:50,1010,16:00,960,26,50,石垣港離島ターミナル,yes,安栄観光,anei-kanko__石垣→鳩間,2026年1月〜3月ダイヤ,,鳩間港,,no,,
anei-kanko__2026-01-01_2026-03-31__ishigaki-port__kuroshima-port__0730,08:00,480,07:30,450,27,30,石垣港離島ターミナル,yes,安栄観光,anei-kanko__石垣→黒島,2026年1月〜3月ダイヤ,,黒島港,竹富経由,no,,
anei-kanko__2026-01-01_2026-03-31__ishigaki-port__kuroshima-port__1300,13:30,810,13:00,780,28,30,石垣港離島ターミナル,yes,安栄観光,anei-kanko__石垣→黒島,2026年1月〜3月ダイヤ,,黒島港,,no,,
anei-kanko__2026-01-01_2026-03-31__ishigaki-port__kuroshima-port__1530,16:00,960,15:30,930,29,30,石垣港離島ターミナル,yes,安栄観光,anei-kanko__石垣→黒島,2026年1月〜3月ダイヤ,,黒島港,竹富経由,no,,
anei-kanko__2026-01-01_2026-03-31__taketomi-port__ishigaki-port__0920,09:35,575,09:20,560,30,15,竹富港,yes,安栄観光,anei-kanko__竹富→石垣,2026年1月〜3月ダイヤ,,石垣港離島ターミナル,,no,,
anei-kanko__2026-01-01_2026-03-31__taketomi-port__ishigaki-port__1240,12:55,775,12:40,760,31,15,竹富港,yes,安栄観光,anei-kanko__竹富→石垣,2026年1月〜3月ダイヤ,,石垣港離島ターミナル,,no,,
anei-kanko__2026-01-01_2026-03-31__taketomi-port__ishigaki-port__1450,15:05,905,14:50,890,32,15,竹富港,yes,安栄観光,anei-kanko__竹富→石垣,2026年1月〜3月ダイヤ,,石垣港離島ターミナル,,no,,
anei-kanko__2026-01-01_2026-03-31__taketomi-port__ishigaki-port__1700,17:15,1035,17:00,1020,33,15,竹富港,yes,安栄観光,anei-kanko__竹富→石垣,2026年1月〜3月ダイヤ,,石垣港離島ターミナル,,no,,
anei-kanko__2026-01-01_2026-03-31__taketomi-port__kuroshima-port__0750,08:05,485,07:50,470,34,15,竹富港,yes,安栄観光,anei-kanko__竹富→黒島,2026年1月〜3月ダイヤ,,黒島港,,no,,
anei-kanko__2026-01-01_2026-03-31__taketomi-port__kuroshima-port__1550,16:05,965,15:50,950,35,15,竹富港,yes,安栄観光,anei-kanko__竹富→黒島,2026年1月〜3月ダイヤ,,黒島港,,no,,
anei-kanko__2026-01-01_2026-03-31__iriomote-uehara-port__ishigaki-port__0830,09:20,560,08:30,510,36,50,西表上原港,yes,安栄観光,anei-kanko__西表上原→石垣,2026年1月〜3月ダイヤ,,石垣港離島ターミナル,,no,,
anei-kanko__2026-01-01_2026-03-31__iriomote-uehara-port__ishigaki-port__0930,10:20,620,09:30,570,37,50,西表上原港,yes,安栄観光,anei-kanko__西表上原→石垣,2026年1月〜3月ダイヤ,,石垣港離島ターミナル,,no,,
anei-kanko__2026-01-01_2026-03-31__iriomote-uehara-port__ishigaki-port__1430,15:20,920,14:30,870,38,50,西表上原港,yes,安栄観光,anei-kanko__西表上原→石垣,2026年1月〜3月ダイヤ,,石垣港離島ターミナル,,no,,
anei-kanko__2026-01-01_2026-03-31__iriomote-uehara-port__ishigaki-port__1715,18:05,1085,17:15,1035,39,50,西表上原港,yes,安栄観光,anei-kanko__西表上原→石垣,2026年1月〜3月ダイヤ,,石垣港離島ターミナル,,no,,
anei-kanko__2026-01-01_2026-03-31__iriomote-uehara-port__hatoma-port__0930,10:20,620,09:30,570,40,50,西表上原港,yes,安栄観光,anei-kanko__西表上原→鳩間,2026年1月〜3月ダイヤ,,鳩間港,,no,,
anei-kanko__2026-01-01_2026-03-31__iriomote-uehara-port__hatoma-port__1655,17:45,1065,16:55,1015,41,50,西表上原港,yes,安栄観光,anei-kanko__西表上原→鳩間,2026年1月〜3月ダイヤ,,鳩間港,,no,,
anei-kanko__2026-01-01_2026-03-31__iriomote-ohara-port__ishigaki-port__0830,09:15,555,08:30,510,42,45,西表大原港,yes,安栄観光,anei-kanko__西表大原→石垣,2026年1月〜3月ダイヤ,上原航路欠航時のみ運航,石垣港離島ターミナル,,yes,route_cancelled,anei-kanko__西表上原→石垣
anei-kanko__2026-01-01_2026-03-31__iriomote-ohara-port__ishigaki-port__0930,10:15,615,09:30,570,43,45,西表大原港,yes,安栄観光,anei-kanko__西表大原→石垣,2026年1月〜3月ダイヤ,上原航路欠航時に大原-上原方面の連絡送迎バスあり,石垣港離島ターミナル,,no,,
anei-kanko__2026-01-01_2026-03-31__iriomote-ohara-port__ishigaki-port__1240,13:25,805,12:40,760,44,45,西表大原港,yes,安栄観光,anei-kanko__西表大原→石垣,2026年1月〜3月ダイヤ,,石垣港離島ターミナル,,no,,
anei-kanko__2026-01-01_2026-03-31__iriomote-ohara-port__ishigaki-port__1400,14:45,885,14:00,840,45,45,西表大原港,yes,安栄観光,anei-kanko__西表大原→石垣,2026年1月〜3月ダイヤ,,石垣港離島ターミナル,竹富経由,no,,
anei-kanko__2026-01-01_2026-03-31__iriomote-ohara-port__ishigaki-port__1700,17:45,1065,17:00,1020,46,45,西表大原港,yes,安栄観光,anei-kanko__西表大原→石垣,2026年1月〜3月ダイヤ,上原航路欠航時に大原-上原方面の連絡送迎バスあり,石垣港離島ターミナル,,no,,
anei-kanko__2026-01-01_2026-03-31__iriomote-ohara-port__taketomi-port__1400,14:15,855,14:00,840,47,15,西表大原港,yes,安栄観光,anei-kanko__西表大原→竹富,2026年1月〜3月ダイヤ,,竹富港,,no,,
